tradingsymbol,name,instrument_type,segment,exchange,data_type,key,from,to
NIFTY 50,NIFTY 50,EQ,INDICES,NSE,minute,NIFTY_50__EQ__INDICES__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
NIFTY 100,NIFTY 100,EQ,INDICES,NSE,minute,NIFTY_100__EQ__INDICES__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
NIFTY 500,NIFTY 500,EQ,INDICES,NSE,minute,NIFTY_500__EQ__INDICES__NSE__MINUTE,2019-07-02 00:00:00+05:30,2021-01-01 23:59:59+05:30
NIFTY AUTO,NIFTY AUTO,EQ,INDICES,NSE,minute,NIFTY_AUTO__EQ__INDICES__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
NIFTY BANK,NIFTY BANK,EQ,INDICES,NSE,minute,NIFTY_BANK__EQ__INDICES__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
NIFTY COMMODITIES,NIFTY COMMODITIES,EQ,INDICES,NSE,minute,NIFTY_COMMODITIES__EQ__INDICES__NSE__MINUTE,2018-12-10 00:00:00+05:30,2021-01-01 23:59:59+05:30
NIFTY FIN SERVICE,NIFTY FIN SERVICE,EQ,INDICES,NSE,minute,NIFTY_FIN_SERVICE__EQ__INDICES__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
NIFTY ENERGY,NIFTY ENERGY,EQ,INDICES,NSE,minute,NIFTY_ENERGY__EQ__INDICES__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
NIFTY MIDCAP 100,NIFTY MIDCAP 100,EQ,INDICES,NSE,minute,NIFTY_MIDCAP_100__EQ__INDICES__NSE__MINUTE,2018-12-10 00:00:00+05:30,2021-01-01 23:59:59+05:30
ADANIPORTS,ADANI PORT & SEZ,EQ,NSE,NSE,minute,ADANIPORTS__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
ASIANPAINT,ASIAN PAINTS,EQ,NSE,NSE,minute,ASIANPAINT__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
AXISBANK,AXIS BANK,EQ,NSE,NSE,minute,AXISBANK__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
BAJAJ-AUTO,BAJAJ AUTO,EQ,NSE,NSE,minute,BAJAJ_AUTO__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
BAJAJFINSV,BAJAJ FINSERV.,EQ,NSE,NSE,minute,BAJAJFINSV__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
BAJFINANCE,BAJAJ FINANCE,EQ,NSE,NSE,minute,BAJFINANCE__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
BHARTIARTL,BHARTI AIRTEL,EQ,NSE,NSE,minute,BHARTIARTL__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
BPCL,BHARAT PETROLEUM CORP  LT,EQ,NSE,NSE,minute,BPCL__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
BRITANNIA,BRITANNIA INDUSTRIES,EQ,NSE,NSE,minute,BRITANNIA__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
CIPLA,CIPLA,EQ,NSE,NSE,minute,CIPLA__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
COALINDIA,COAL INDIA,EQ,NSE,NSE,minute,COALINDIA__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
DIVISLAB,DIVI'S LABORATORIES,EQ,NSE,NSE,minute,DIVISLAB__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
DRREDDY,DR. REDDY'S LABORATORIES,EQ,NSE,NSE,minute,DRREDDY__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
EICHERMOT,EICHER MOTORS,EQ,NSE,NSE,minute,EICHERMOT__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
GAIL,GAIL (INDIA),EQ,NSE,NSE,minute,GAIL__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
GRASIM,GRASIM INDUSTRIES,EQ,NSE,NSE,minute,GRASIM__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
HCLTECH,HCL TECHNOLOGIES,EQ,NSE,NSE,minute,HCLTECH__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
HDFC,HDFC,EQ,NSE,NSE,minute,HDFC__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
HDFCBANK,HDFC BANK,EQ,NSE,NSE,minute,HDFCBANK__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
HDFCLIFE,HDFC LIFE INS CO,EQ,NSE,NSE,minute,HDFCLIFE__EQ__NSE__NSE__MINUTE,2017-11-17 00:00:00+05:30,2021-01-01 23:59:59+05:30
HEROMOTOCO,HERO MOTOCORP,EQ,NSE,NSE,minute,HEROMOTOCO__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
HINDALCO,HINDALCO  INDUSTRIES ,EQ,NSE,NSE,minute,HINDALCO__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
HINDUNILVR,HINDUSTAN UNILEVER.,EQ,NSE,NSE,minute,HINDUNILVR__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
ICICIBANK,ICICI BANK.,EQ,NSE,NSE,minute,ICICIBANK__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
INDUSINDBK,INDUSIND BANK,EQ,NSE,NSE,minute,INDUSINDBK__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
INFY,INFOSYS,EQ,NSE,NSE,minute,INFY__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
IOC,INDIAN OIL CORP,EQ,NSE,NSE,minute,IOC__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
ITC,ITC,EQ,NSE,NSE,minute,ITC__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
JSWSTEEL,JSW STEEL,EQ,NSE,NSE,minute,JSWSTEEL__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
KOTAKBANK,KOTAK MAHINDRA BANK,EQ,NSE,NSE,minute,KOTAKBANK__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
LT,LARSEN & TOUBRO.,EQ,NSE,NSE,minute,LT__EQ__NSE__NSE__MINUTE,2017-01-01 00:00:00+05:30,2021-01-01 23:59:59+05:30
